      data, categoria,  valor,    peso, uf,cidade
2018-04-28, Terneiros,   6.55,        , SC,Campo Belo do Sul
2018-04-28, Terneiras,   6.67,        , SC,Campo Belo do Sul
2021-09-21,      Bois,  13.81,        , SC,Lages
2021-09-21,  Novilhas,  17.08,        , SC,Lages
2021-09-21,      Bois,  12.98,        , SC,São Joaquim
2021-09-21,  Novilhas,  17.08,        , SC,São Joaquim
2024-05-18, Terneiro,  11.34, 205.49, SC,São José do Cerrito
2024-05-18, Terneira,  10.00, 189.01, SC,São José do Cerrito
2024-05-20, Terneiro,  10.26, 191.79, SC,Painel
2024-05-20, Terneira,   9.38, 171.12, SC,Painel
2024-05-26, Terneiro,  11.15, 229.60, SC,Tubarão
2024-05-26, Terneira,  11.34, 206.02, SC,Tubarão